url,description
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join other grad students for free food, massages, decorative candle making, a chocolate fountain, giveaways, and more! The first 25 guests will receive a stress relief-themed gift basket. We will be raffling off a Fit Bit, stress relief gift baskets, and more!"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us Monday, February 22nd, from 3-5PM for an awards reception to honor the winners of the Juried Art Competition. Light refreshments will be served in the Hussey Room on the 2nd Floor of the Michigan League. It is a great opportunity to view art & meet the artists behind the work!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Thursday, March 31st from 7-9pm in the Pendleton Room of the Michigan Union (2nd Floor)."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Union!  On Friday, March 18 from 10pm - 2am, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy our excellent soup and salad buffet at midnight!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us at UMix Game Night where we will feature almost every type of popular game! There will be: Minute To Win It games, Wolverine Feud, video games, board games, & a reality game show Pop Culture Clash. There are great prizes to be won & the craft for the night will be everyone's favorite childhood craft - Perler Beads. We will screen ""Spectre"" at 10:30PM and we'll have our legendary Nacho Bar for the midnight buffet."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us for Senior Spotlight as part of our Senior Program series on the Diag on April 10 from 12pm - 3pm.  UM Social Media will take stories for their Wolverines of Ann Arbor storytelling series.  In addition, photographers will take senior pictures for students at the diag, law quad, and union.  Feel free to wear your Cap and Gown for your pictures!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Michigan Union! On Friday, March 18, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy some food at the midnight buffet!  The fun begins at 10pm and lasts until 2am!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us February 16th starting at 6:30PM in the Vandenberg Room of the Michigan League to support Michigan Men's Basketball as they go head to head with OSU. Streaming of the game, pizza, & snacks will be provided!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us in the Kalamazoo Room of the Michigan League on Thursday, Feb 25th at 7PM with instructors from the Ann Arbor Art Center to learn how to create zentangle artwork on canvas. Light refreshments will be provided (Brownies, Coffee, &Hot Chocolate). We have a 25 person capacity so RSVP here to save your space!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"UMix welcomes you back from spring break with ""UMix Road Trip"" this Friday, March 11!  Join us for Bumper Cars, Photo Booth, MYO Street Sign, Road Trip Collages and canvas crafts.  Plus, we'll be screening ""Sisters"" at 10:30pm.  Don't forget about our legendary Midnight Buffet serving up our Route 66 BBQ menu!  Pack your bags, the trip starts at 10pm sharp at the Michigan Union and goes until 2am."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"The Center for Campus Involvement is excited to present Humans of New York creator, Brandon Stanton, as this year’s Change Our World lecturer on Thursday, March 24 at 7pm in the Power Center. Change Our World is a conversation among students about making an impact in our community - within the institution, the state of Michigan and the world at large. "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"LAST CHANCE: Seniors, sign up for a private baking class at Zingerman's! Make your own chocolate brownies or vanilla shortbread cookies."
https://campusinvolvement.umich.edu/late-night-programs?page=4,CCI is partnering with Big Ticket Productions for the second annual Michigan’s Got Talent...where Michigan’s most talented perform and compete!  All talents are welcome to try out!
https://campusinvolvement.umich.edu/late-night-programs?page=4,"The main event will be held on Thursday, February 18, 2016 from 7-10pm in the League Ballroom."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Free tickets will be available starting 9:00 a.m. on Monday, March 7 at the Michigan Union Ticket Office and limited to one per valid UMID. "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us Monday, March 14th from 6-8PM in the Michigan Room of the Michigan League to connect with students and faculty about the new Arab and Muslim American Studies minor. This is an information session where you will learn about valuable social justice & cultural internship opportunities. Pizza and refreshments will be provided. All students are welcome!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Sign up here: 
https://campusinvolvement.umich.edu/late-night-programs?page=2,Check in: The Cube @ 4:55pm
https://campusinvolvement.umich.edu/late-night-programs?page=2,Bus depature for Zingerman's: PROMPTYLY at 5pm.
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us for ""Orglead: Secrets Uncovered"" on Tuesday, February 23rd, from 6:30 PM to 8:00 PM in the Pendleton Room, second floor Michigan Union."
https://campusinvolvement.umich.edu/late-night-programs?page=4,"This event will provide information about useful resources that are hidden gems to campus organizations. Attend the workshop if your group is looking for valuable information topics like student organization discounts, transportation services, and other beneficial resources available to student orgs!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join our ""Stress Relief & Wellness Series"" on Tuesday, March 15th from 7-9 PM in Michigan Union Pond Room. Students will relax & relieve stress with free massages provided by RUB Ann Arbor. There will also be free food!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us for Orglead: Leadership Transition on Thursday, March 24 from 6:00-7:30PM. This event will provide information about how to effectively transition leadership roles for the upcoming year. Attend the workshop if your group to learn how to improve this process & to strengthen the future of your student organization!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Drop off on campus: The Cube
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us for Cooking 101: Smoothies on Wednesday, February 24th, from 7-8:30 PM in the Michigan Union, Pendleton Room. Learn how to make easy - & healthy - smoothies on the go! Chef Eric will demonstrate three different smoothies & samples will be passed out for each one. Following the demos, prizes will be raffled off."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Connect with students and faculty about the new Arab and Muslim American Studies minor and learn about valuable internship opportunities. Pizza and refreshments will be provided. All students are welcome!
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Date: Monday, March 14"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Time: 6-8pm
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Location: The Michigan Room in the Michigan League
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,Co-sponsored by the Arab and Muslim American Studies Department
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"The popular Mochas and Masterpieces is back with Pop Art Printmaking.  On Wednesday March 30, Ann Arbor Art Center instructors will be teaching students how to do make an Andy Warhol-esque Pop Art Print on your very own canvas tote bags.  Join us in the Michigan Union Wolverine Room from 6:00pm - 8:00pm.  We'll supply the coffee."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join CCI for our Business Etiquette Luncheon on Friday, March 25.  Learn the tricks to navigate a business lunch or dinner!  This is an interactive learning lab where attendees can eat and learn while connecting with peers. This Business Etiquette Luncheon will teach specific table Etiquette skills professionals need to understand when presenting themselves in a business setting.  "
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
				© 2016 The Regents of the University of Michigan "
url,description
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join our ""Stress Relief & Wellness Series"" on Tuesday, March 15th from 7-9 PM in Michigan Union Pond Room. Students will relax & relieve stress with free massages provided by RUB Ann Arbor. There will also be free food!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us for Orglead: Leadership Transition on Thursday, March 24 from 6:00-7:30PM. This event will provide information about how to effectively transition leadership roles for the upcoming year. Attend the workshop if your group to learn how to improve this process & to strengthen the future of your student organization!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us for Cooking 101: Smoothies on Wednesday, February 24th, from 7-8:30 PM in the Michigan Union, Pendleton Room. Learn how to make easy - & healthy - smoothies on the go! Chef Eric will demonstrate three different smoothies & samples will be passed out for each one. Following the demos, prizes will be raffled off."
https://campusinvolvement.umich.edu/late-night-programs?page=3,Connect with students and faculty about the new Arab and Muslim American Studies minor and learn about valuable internship opportunities. Pizza and refreshments will be provided. All students are welcome!
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us Monday, February 22nd, from 3-5PM for an awards reception to honor the winners of the Juried Art Competition. Light refreshments will be served in the Hussey Room on the 2nd Floor of the Michigan League. It is a great opportunity to view art & meet the artists behind the work!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Date: Monday, March 14"
https://campusinvolvement.umich.edu/late-night-programs?page=3,Time: 6-8pm
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us at UMix Game Night where we will feature almost every type of popular game! There will be: Minute To Win It games, Wolverine Feud, video games, board games, & a reality game show Pop Culture Clash. There are great prizes to be won & the craft for the night will be everyone's favorite childhood craft - Perler Beads. We will screen ""Spectre"" at 10:30PM and we'll have our legendary Nacho Bar for the midnight buffet."
https://campusinvolvement.umich.edu/late-night-programs?page=3,Location: The Michigan Room in the Michigan League
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,Graduating students- enjoy a FREE tour of the Big House (Michigan Stadium)! 
https://campusinvolvement.umich.edu/late-night-programs?page=2, to secure your spot on the tour!
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us February 16th starting at 6:30PM in the Vandenberg Room of the Michigan League to support Michigan Men's Basketball as they go head to head with OSU. Streaming of the game, pizza, & snacks will be provided!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,Co-sponsored by the Arab and Muslim American Studies Department
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,Date: April 5
https://campusinvolvement.umich.edu/late-night-programs?page=2,Time: 4pm
https://campusinvolvement.umich.edu/late-night-programs?page=2,Location: The Big House!
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us in the Kalamazoo Room of the Michigan League on Thursday, Feb 25th at 7PM with instructors from the Ann Arbor Art Center to learn how to create zentangle artwork on canvas. Light refreshments will be provided (Brownies, Coffee, &Hot Chocolate). We have a 25 person capacity so RSVP here to save your space!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"The popular Mochas and Masterpieces is back with Pop Art Printmaking.  On Wednesday March 30, Ann Arbor Art Center instructors will be teaching students how to do make an Andy Warhol-esque Pop Art Print on your very own canvas tote bags.  Join us in the Michigan Union Wolverine Room from 6:00pm - 8:00pm.  We'll supply the coffee."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Friday Flicks presents ""Concussion"" on Friday, March 25 in the Michigan Union Anderson Room at 9pm. Join us for popcorn and refreshments!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join CCI for our Business Etiquette Luncheon on Friday, March 25.  Learn the tricks to navigate a business lunch or dinner!  This is an interactive learning lab where attendees can eat and learn while connecting with peers. This Business Etiquette Luncheon will teach specific table Etiquette skills professionals need to understand when presenting themselves in a business setting.  "
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Concussion, starring Will Smith: ""In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play."""
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us for Senior Spotlight as part of our Senior Program series on the Diag on April 10 from 12pm - 3pm.  UM Social Media will take stories for their Wolverines of Ann Arbor storytelling series.  In addition, photographers will take senior pictures for students at the diag, law quad, and union.  Feel free to wear your Cap and Gown for your pictures!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Know a graduating student who has committed to community service, advocacy, or activism as a student? Encourage them to wear a Ginsberg Center service cord at graduation!  Visit ginsberg.umich.edu/"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"UMix welcomes you back from spring break with ""UMix Road Trip"" this Friday, March 11!  Join us for Bumper Cars, Photo Booth, MYO Street Sign, Road Trip Collages and canvas crafts.  Plus, we'll be screening ""Sisters"" at 10:30pm.  Don't forget about our legendary Midnight Buffet serving up our Route 66 BBQ menu!  Pack your bags, the trip starts at 10pm sharp at the Michigan Union and goes until 2am."
https://campusinvolvement.umich.edu/late-night-programs?page=2,servicecords for more information.
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join other grad students for free food, massages, decorative candle making, a chocolate fountain, giveaways, and more! The first 25 guests will receive a stress relief-themed gift basket. We will be raffling off a Fit Bit, stress relief gift baskets, and more!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"The Center for Campus Involvement is excited to present Humans of New York creator, Brandon Stanton, as this year’s Change Our World lecturer on Thursday, March 24 at 7pm in the Power Center. Change Our World is a conversation among students about making an impact in our community - within the institution, the state of Michigan and the world at large. "
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Thursday, March 31st from 7-9pm in the Pendleton Room of the Michigan Union (2nd Floor)."
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Free tickets will be available starting 9:00 a.m. on Monday, March 7 at the Michigan Union Ticket Office and limited to one per valid UMID. "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us Monday, March 14th from 6-8PM in the Michigan Room of the Michigan League to connect with students and faculty about the new Arab and Muslim American Studies minor. This is an information session where you will learn about valuable social justice & cultural internship opportunities. Pizza and refreshments will be provided. All students are welcome!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Union!  On Friday, March 18 from 10pm - 2am, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy our excellent soup and salad buffet at midnight!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Michigan Union! On Friday, March 18, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy some food at the midnight buffet!  The fun begins at 10pm and lasts until 2am!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"LAST CHANCE: Seniors, sign up for a private baking class at Zingerman's! Make your own chocolate brownies or vanilla shortbread cookies."
https://campusinvolvement.umich.edu/late-night-programs?page=2,Sign up here: 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,Check in: The Cube @ 4:55pm
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,Bus depature for Zingerman's: PROMPTYLY at 5pm.
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=2,Drop off on campus: The Cube
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
				© 2016 The Regents of the University of Michigan "
